cam,n_pairs,pos3d_gen6_mm,hcs_gen6_deg,pos3d_true6_mm,hcs_true6_deg,hcs_true6_full_deg
cam01,9593,18.872,3.833,5.129,0.925,0.000
cam02,9595,79.998,7.450,5.129,0.001,0.001
cam03,9595,85.732,7.769,5.129,0.925,0.001
cam04,9595,40.374,6.141,5.129,0.001,0.001
cam05,9595,27.250,6.030,5.129,0.925,0.001
cam06,9589,33.541,7.359,5.128,0.001,0.001
cam07,9595,34.624,6.456,5.129,0.925,0.001
cam08,9578,40.808,17.344,5.125,0.001,0.001
cam09,9583,34.783,17.320,5.127,0.925,0.001
AVG vs cam00,9593,43.998,8.856,5.128,0.514,0.001
